Test Name,Parameter,Actual Value,Operator,Expected Value,Status
Overheat Check,temperature,77,<,110,PASS
RPM Minimum Check,rpm,4042,>,800,PASS
Voltage Check,voltage,11.8,>=,11.5,PASS
Overheat Check,temperature,111,<,110,FAIL
RPM Minimum Check,rpm,1423,>,800,PASS
Voltage Check,voltage,11.28,>=,11.5,FAIL
Overheat Check,temperature,113,<,110,FAIL
RPM Minimum Check,rpm,4390,>,800,PASS
Voltage Check,voltage,13.68,>=,11.5,PASS
Overheat Check,temperature,80,<,110,PASS
RPM Minimum Check,rpm,2856,>,800,PASS
Voltage Check,voltage,12.87,>=,11.5,PASS
Overheat Check,temperature,116,<,110,FAIL
RPM Minimum Check,rpm,1643,>,800,PASS
Voltage Check,voltage,14.48,>=,11.5,PASS
Overheat Check,temperature,71,<,110,PASS
RPM Minimum Check,rpm,766,>,800,FAIL
Voltage Check,voltage,12.87,>=,11.5,PASS
Overheat Check,temperature,79,<,110,PASS
RPM Minimum Check,rpm,2236,>,800,PASS
Voltage Check,voltage,12.89,>=,11.5,PASS
Overheat Check,temperature,107,<,110,PASS
RPM Minimum Check,rpm,3412,>,800,PASS
Voltage Check,voltage,12.87,>=,11.5,PASS
Overheat Check,temperature,106,<,110,PASS
RPM Minimum Check,rpm,3765,>,800,PASS
Voltage Check,voltage,13.42,>=,11.5,PASS
Overheat Check,temperature,91,<,110,PASS
RPM Minimum Check,rpm,1821,>,800,PASS
Voltage Check,voltage,13.72,>=,11.5,PASS
Overheat Check,temperature,87,<,110,PASS
RPM Minimum Check,rpm,2116,>,800,PASS
Voltage Check,voltage,13.42,>=,11.5,PASS
Overheat Check,temperature,105,<,110,PASS
RPM Minimum Check,rpm,809,>,800,PASS
Voltage Check,voltage,12.26,>=,11.5,PASS
Overheat Check,temperature,86,<,110,PASS
RPM Minimum Check,rpm,4363,>,800,PASS
Voltage Check,voltage,13.2,>=,11.5,PASS
Overheat Check,temperature,74,<,110,PASS
RPM Minimum Check,rpm,2234,>,800,PASS
Voltage Check,voltage,13.84,>=,11.5,PASS
Overheat Check,temperature,92,<,110,PASS
RPM Minimum Check,rpm,2066,>,800,PASS
Voltage Check,voltage,12.96,>=,11.5,PASS
Overheat Check,temperature,103,<,110,PASS
RPM Minimum Check,rpm,1788,>,800,PASS
Voltage Check,voltage,13.39,>=,11.5,PASS
Overheat Check,temperature,77,<,110,PASS
RPM Minimum Check,rpm,3673,>,800,PASS
Voltage Check,voltage,11.45,>=,11.5,FAIL
Overheat Check,temperature,113,<,110,FAIL
RPM Minimum Check,rpm,4705,>,800,PASS
Voltage Check,voltage,12.36,>=,11.5,PASS
Overheat Check,temperature,109,<,110,PASS
RPM Minimum Check,rpm,1309,>,800,PASS
Voltage Check,voltage,12.87,>=,11.5,PASS
Overheat Check,temperature,83,<,110,PASS
RPM Minimum Check,rpm,1192,>,800,PASS
Voltage Check,voltage,13.09,>=,11.5,PASS
Overheat Check,temperature,116,<,110,FAIL
RPM Minimum Check,rpm,2834,>,800,PASS
Voltage Check,voltage,12.46,>=,11.5,PASS
Overheat Check,temperature,73,<,110,PASS
RPM Minimum Check,rpm,4082,>,800,PASS
Voltage Check,voltage,11.18,>=,11.5,FAIL
Overheat Check,temperature,72,<,110,PASS
RPM Minimum Check,rpm,3133,>,800,PASS
Voltage Check,voltage,14.07,>=,11.5,PASS
Overheat Check,temperature,90,<,110,PASS
RPM Minimum Check,rpm,1925,>,800,PASS
Voltage Check,voltage,13.44,>=,11.5,PASS
Overheat Check,temperature,83,<,110,PASS
RPM Minimum Check,rpm,1938,>,800,PASS
Voltage Check,voltage,13.15,>=,11.5,PASS
Overheat Check,temperature,83,<,110,PASS
RPM Minimum Check,rpm,2452,>,800,PASS
Voltage Check,voltage,11.4,>=,11.5,FAIL
Overheat Check,temperature,78,<,110,PASS
RPM Minimum Check,rpm,3283,>,800,PASS
Voltage Check,voltage,14.26,>=,11.5,PASS
Overheat Check,temperature,104,<,110,PASS
RPM Minimum Check,rpm,1989,>,800,PASS
Voltage Check,voltage,14.04,>=,11.5,PASS
Overheat Check,temperature,88,<,110,PASS
RPM Minimum Check,rpm,2295,>,800,PASS
Voltage Check,voltage,12.67,>=,11.5,PASS
Overheat Check,temperature,88,<,110,PASS
RPM Minimum Check,rpm,1890,>,800,PASS
Voltage Check,voltage,13.18,>=,11.5,PASS
Overheat Check,temperature,82,<,110,PASS
RPM Minimum Check,rpm,4353,>,800,PASS
Voltage Check,voltage,13.83,>=,11.5,PASS
Overheat Check,temperature,86,<,110,PASS
RPM Minimum Check,rpm,1158,>,800,PASS
Voltage Check,voltage,14.05,>=,11.5,PASS
Overheat Check,temperature,96,<,110,PASS
RPM Minimum Check,rpm,4707,>,800,PASS
Voltage Check,voltage,13.41,>=,11.5,PASS
Overheat Check,temperature,91,<,110,PASS
RPM Minimum Check,rpm,3201,>,800,PASS
Voltage Check,voltage,11.28,>=,11.5,FAIL
Overheat Check,temperature,101,<,110,PASS
RPM Minimum Check,rpm,4626,>,800,PASS
Voltage Check,voltage,11.59,>=,11.5,PASS
Overheat Check,temperature,86,<,110,PASS
RPM Minimum Check,rpm,3304,>,800,PASS
Voltage Check,voltage,14.28,>=,11.5,PASS
Overheat Check,temperature,90,<,110,PASS
RPM Minimum Check,rpm,959,>,800,PASS
Voltage Check,voltage,13.58,>=,11.5,PASS
Overheat Check,temperature,87,<,110,PASS
RPM Minimum Check,rpm,1943,>,800,PASS
Voltage Check,voltage,13.19,>=,11.5,PASS
Overheat Check,temperature,88,<,110,PASS
